"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
2.648815061E0	8.525437622E2	3.296250000E2	1.615125122E2	9.282078424E2
2.658814800E0	8.525625610E2	3.296812744E2	1.615125122E2	9.282450941E2
2.668814853E0	8.523375244E2	3.295500183E2	1.617000122E2	9.280244415E2
2.678815321E0	8.522437744E2	3.294750061E2	1.615500031E2	9.278855717E2
2.688814800E0	8.523000488E2	3.295687561E2	1.617375031E2	9.280032102E2
2.698814853E0	8.522437744E2	3.299250183E2	1.615312500E2	9.280421938E2
2.708814800E0	8.525250244E2	3.298500061E2	1.613062592E2	9.282346972E2
2.718814800E0	8.524875488E2	3.298875122E2	1.614375000E2	9.282364236E2
2.728815061E0	8.523187866E2	3.300562744E2	1.613437500E2	9.281251338E2
2.738814957E0	8.523000488E2	3.301687622E2	1.613437500E2	9.281479356E2
2.748814905E0	8.522813110E2	3.300375061E2	1.611937561E2	9.280579807E2
2.758814853E0	8.522625122E2	3.300000000E2	1.613437500E2	9.280534442E2
2.768814853E0	8.523187866E2	3.298875122E2	1.611937561E2	9.280390680E2
2.778814957E0	8.524312744E2	3.298875122E2	1.614562531E2	9.281880036E2
2.788815061E0	8.523937988E2	3.298125000E2	1.618125000E2	9.281889671E2
2.798814957E0	8.524312744E2	3.295875244E2	1.619062500E2	9.281598179E2
2.808814957E0	8.526000366E2	3.294750061E2	1.619062500E2	9.282748709E2
2.818814905E0	8.524125366E2	3.295312500E2	1.620375061E2	9.281455331E2
2.828814853E0	8.525625610E2	3.296625061E2	1.620937500E2	9.283397396E2
2.838814905E0	8.524500122E2	3.298687744E2	1.619812622E2	9.282900198E2
2.848815061E0	8.526000366E2	3.300375061E2	1.623187561E2	9.285466905E2
2.858814957E0	8.523937988E2	3.300187683E2	1.623000031E2	9.283473847E2
2.868814957E0	8.524500122E2	3.300562744E2	1.620375061E2	9.283664799E2
2.878814957E0	8.526750488E2	3.302437744E2	1.619812622E2	9.286299687E2
2.888815061E0	8.529187622E2	3.303937683E2	1.617187500E2	9.288613520E2
2.898815061E0	8.531250610E2	3.304687500E2	1.617187500E2	9.290774556E2
2.908815009E0	8.531062622E2	3.305625000E2	1.617750092E2	9.291033390E2
2.918815009E0	8.535187988E2	3.306000061E2	1.620937500E2	9.295510141E2
2.928814853E0	8.535000610E2	3.306562500E2	1.618875122E2	9.295178731E2
2.938814853E0	8.538562622E2	3.306937561E2	1.616437531E2	9.298158849E2
2.948814957E0	8.538187866E2	3.306937561E2	1.617375031E2	9.297977740E2
2.958814905E0	8.536875610E2	3.305625000E2	1.618125000E2	9.296436432E2
2.968815009E0	8.534812622E2	3.304312744E2	1.621125031E2	9.294598193E2
2.978814957E0	8.534812622E2	3.302062683E2	1.621125031E2	9.293798514E2
2.988815009E0	8.535000610E2	3.299812622E2	1.623000031E2	9.293499226E2
2.998814957E0	8.534625244E2	3.298875122E2	1.620000000E2	9.292298162E2
3.008814853E0	8.533312988E2	3.296812744E2	1.619812622E2	9.290328183E2
3.018815113E0	8.530875244E2	3.295312500E2	1.621312561E2	9.287818437E2
3.028814905E0	8.531062622E2	3.296812744E2	1.620937500E2	9.288457467E2
3.038815009E0	8.530687866E2	3.296250000E2	1.620375061E2	9.287815398E2
3.048814853E0	8.532188110E2	3.297375183E2	1.620000000E2	9.289527278E2
3.058814957E0	8.529375610E2	3.297750244E2	1.619625092E2	9.287011921E2
3.068814905E0	8.531250610E2	3.299437561E2	1.616812592E2	9.288843208E2
3.078815009E0	8.526563110E2	3.297937622E2	1.619062500E2	9.284397364E2
3.088814853E0	8.528438110E2	3.301312561E2	1.619062500E2	9.287318483E2
3.098815009E0	8.527687988E2	3.301125183E2	1.621125031E2	9.286922863E2
3.108814957E0	8.529187622E2	3.301687622E2	1.622812500E2	9.288794489E2
3.118814957E0	8.531625366E2	3.302437744E2	1.622437592E2	9.291234051E2
3.128815165E0	8.531812744E2	3.300187683E2	1.623187561E2	9.290737608E2
3.138814853E0	8.532937622E2	3.300187683E2	1.622625122E2	9.291672373E2
3.148815009E0	8.533125610E2	3.298687744E2	1.624687500E2	9.291672777E2
3.158996728E0	8.536500244E2	3.298875122E2	1.623562622E2	9.294641955E2
3.168814905E0	8.536687622E2	3.296812744E2	1.622062531E2	9.293820349E2
3.178814957E0	8.539125366E2	3.297375183E2	1.618875122E2	9.295703404E2
3.188814957E0	8.538937988E2	3.295125122E2	1.617562561E2	9.294504838E2
3.198814957E0	8.535375366E2	3.295500183E2	1.618312531E2	9.291495549E2
3.208814957E0	8.534437866E2	3.297375183E2	1.617937622E2	9.291234307E2
3.218815530E0	8.534625244E2	3.296250000E2	1.618312531E2	9.291072466E2
3.228814957E0	8.529937744E2	3.295875244E2	1.618500061E2	9.286666463E2
3.238814957E0	8.530125122E2	3.296625061E2	1.617375031E2	9.286908710E2
3.248815373E0	8.528625488E2	3.297187500E2	1.618500061E2	9.285927018E2
3.258814957E0	8.530125122E2	3.299437561E2	1.620937500E2	9.288528473E2
3.268815009E0	8.527125244E2	3.299437561E2	1.621687622E2	9.285904581E2
3.278815009E0	8.528062744E2	3.298687744E2	1.621687622E2	9.286499111E2
3.288815061E0	8.528812866E2	3.297562561E2	1.619812622E2	9.286461150E2
3.298815009E0	8.529750366E2	3.298312683E2	1.621687622E2	9.287915730E2
3.308814957E0	8.533875122E2	3.298687744E2	1.621500092E2	9.291804345E2
3.318815061E0	8.533312988E2	3.297562561E2	1.623375092E2	9.291216072E2
3.328814957E0	8.532562866E2	3.297937622E2	1.622625122E2	9.290529259E2
3.338814957E0	8.530500488E2	3.293812561E2	1.621125031E2	9.286909396E2
3.348814853E0	8.531812744E2	3.294750061E2	1.622625122E2	9.288709219E2
3.358814957E0	8.532375488E2	3.294375000E2	1.622437592E2	9.289060332E2
3.368814957E0	8.532000122E2	3.294937744E2	1.619625092E2	9.288424315E2
3.378816155E0	8.530313110E2	3.294187622E2	1.617187500E2	9.286183783E2
3.388815269E0	8.530687866E2	3.294937744E2	1.615125122E2	9.286435235E2
3.398814957E0	8.530500488E2	3.295125122E2	1.613437500E2	9.286036222E2
3.408814957E0	8.530875244E2	3.295312500E2	1.613062592E2	9.286381848E2
3.418814957E0	8.530313110E2	3.298687744E2	1.613812561E2	9.287194064E2
3.428814957E0	8.530875244E2	3.298312683E2	1.613062592E2	9.287446899E2
3.438814957E0	8.531625366E2	3.299437561E2	1.613062592E2	9.288535435E2
3.448814957E0	8.531625366E2	3.299812622E2	1.617187500E2	9.289385886E2
3.458814957E0	8.534250488E2	3.302625122E2	1.618500061E2	9.293024617E2
3.468814957E0	8.534063110E2	3.303187561E2	1.619812622E2	9.293281130E2
3.478814853E0	8.534250488E2	3.304875183E2	1.622250061E2	9.294478287E2
3.488814905E0	8.535750122E2	3.304312744E2	1.621312561E2	9.295491772E2
3.498814957E0	8.534625244E2	3.303562622E2	1.622062531E2	9.294323047E2
3.508814957E0	8.534437866E2	3.303937683E2	1.620000000E2	9.293924570E2
3.518814957E0	8.533312988E2	3.304687500E2	1.620562592E2	9.293256326E2
3.528814957E0	8.533500366E2	3.303562622E2	1.620937500E2	9.293093827E2
3.538814905E0	8.532562866E2	3.300562744E2	1.618687592E2	9.290774619E2
3.548815061E0	8.531812744E2	3.298875122E2	1.619812622E2	9.289682379E2
3.558815321E0	8.531062622E2	3.298312683E2	1.617187500E2	9.288336311E2
3.568815061E0	8.529562988E2	3.295875244E2	1.617562561E2	9.286158896E2
3.578814957E0	8.532750244E2	3.297187500E2	1.617000122E2	9.289454318E2
3.588815061E0	8.532750244E2	3.295125122E2	1.617750092E2	9.288853086E2
3.598891467E0	8.534250488E2	3.296625061E2	1.616437531E2	9.290534887E2
3.608815009E0	8.534250488E2	3.297937622E2	1.615687561E2	9.290870263E2
3.618815061E0	8.532000122E2	3.300000000E2	1.616250000E2	9.289633477E2
3.628815113E0	8.532375488E2	3.301500244E2	1.615125122E2	9.290315629E2
3.638815009E0	8.533500366E2	3.303375244E2	1.614750061E2	9.291949971E2
3.648815061E0	8.532750244E2	3.305062561E2	1.616062622E2	9.292089305E2
3.658814905E0	8.530687866E2	3.302437744E2	1.614375000E2	9.288968574E2
3.668814957E0	8.530125122E2	3.303000183E2	1.614562531E2	9.288684351E2
3.678814853E0	8.531250610E2	3.300000000E2	1.614562531E2	9.288651632E2
3.688815009E0	8.530313110E2	3.298875122E2	1.614375000E2	9.287358369E2
3.698814957E0	8.531250610E2	3.297000122E2	1.615312500E2	9.287716687E2
3.708814905E0	8.529187622E2	3.298875122E2	1.616437531E2	9.286683415E2
3.718814905E0	8.529937744E2	3.298500061E2	1.617562561E2	9.287435018E2
3.728815582E0	8.532375488E2	3.298687744E2	1.617750092E2	9.289773284E2
3.738814957E0	8.533500366E2	3.300187683E2	1.618687592E2	9.291502395E2
3.748815009E0	8.534625244E2	3.300562744E2	1.621875000E2	9.293224467E2
3.758815061E0	8.534812622E2	3.302812500E2	1.621500092E2	9.294130376E2
3.768815009E0	8.536125488E2	3.303375244E2	1.621875000E2	9.295601372E2
3.778815061E0	8.539125366E2	3.305437622E2	1.621125031E2	9.298958343E2
3.788814905E0	8.540625610E2	3.303000183E2	1.619812622E2	9.299241311E2
3.798895842E0	8.541375122E2	3.300937500E2	1.618500061E2	9.298968749E2
3.808895842E0	8.541563110E2	3.300750122E2	1.617937622E2	9.298977034E2
3.818814957E0	8.541375122E2	3.299625244E2	1.620000000E2	9.298764204E2
3.828814905E0	8.540625610E2	3.300000000E2	1.619625092E2	9.298143430E2
3.838815009E0	8.539688110E2	3.299250183E2	1.622250061E2	9.297473853E2
3.848814905E0	8.539125366E2	3.300000000E2	1.621125031E2	9.297026857E2
3.858815061E0	8.538187866E2	3.298875122E2	1.621500092E2	9.295831951E2
3.868815321E0	8.540062866E2	3.298875122E2	1.623562622E2	9.297914090E2
3.878814905E0	8.537250366E2	3.299812622E2	1.624312592E2	9.295794670E2
3.888815009E0	8.537437744E2	3.300187683E2	1.626750031E2	9.296526106E2
3.898815009E0	8.538000488E2	3.299250183E2	1.625250092E2	9.296447815E2
3.908815113E0	8.541000366E2	3.300375061E2	1.623187561E2	9.299241940E2
3.918814905E0	8.541375122E2	3.300375061E2	1.622250061E2	9.299422551E2
3.928814905E0	8.541375122E2	3.299062500E2	1.621312561E2	9.298793297E2
3.938815009E0	8.541000366E2	3.298875122E2	1.621125031E2	9.298349891E2
3.948814957E0	8.539125366E2	3.300187683E2	1.619437561E2	9.296799384E2
3.958815061E0	8.538937988E2	3.300937500E2	1.618312531E2	9.296697575E2
3.968815009E0	8.538750610E2	3.300187683E2	1.619250031E2	9.296422505E2
3.978814957E0	8.537437744E2	3.301312561E2	1.619625092E2	9.295681433E2
3.988814905E0	8.534625244E2	3.298125000E2	1.620562592E2	9.292129987E2
3.998814853E0	8.532750244E2	3.298125000E2	1.620562592E2	9.290407868E2
4.008814853E0	8.530875244E2	3.300937500E2	1.621875000E2	9.289913849E2
4.018815009E0	8.530687866E2	3.300750122E2	1.621687622E2	9.289642489E2
4.028814957E0	8.531625366E2	3.299437561E2	1.622437592E2	9.290168101E2
4.038852405E0	8.532937622E2	3.299625244E2	1.622250061E2	9.291407131E2
4.048814957E0	8.531062622E2	3.301875000E2	1.619062500E2	9.289928490E2
4.058814853E0	8.532188110E2	3.303000183E2	1.618125000E2	9.291198667E2
4.068814905E0	8.532375488E2	3.306187744E2	1.616812592E2	9.292275923E2
4.078815113E0	8.532750244E2	3.306187744E2	1.616437531E2	9.292554784E2
4.088814905E0	8.534625244E2	3.305062561E2	1.617375031E2	9.294039411E2
4.098815009E0	8.535938110E2	3.305625000E2	1.618875122E2	9.295706145E2
4.108814957E0	8.535750122E2	3.306750183E2	1.617750092E2	9.295737856E2
4.118815009E0	8.537625122E2	3.309187622E2	1.620750122E2	9.298849198E2
4.128814957E0	8.539312744E2	3.307500000E2	1.619812622E2	9.299635010E2
4.138815061E0	8.540437622E2	3.306375122E2	1.620000000E2	9.300300599E2
4.148815009E0	8.542125244E2	3.307500000E2	1.620937500E2	9.302413575E2
4.158814905E0	8.543438110E2	3.307687683E2	1.620750122E2	9.303653235E2
4.168815009E0	8.541937866E2	3.308625183E2	1.619812622E2	9.302445702E2
4.178815061E0	8.541750488E2	3.306187744E2	1.618312531E2	9.301145857E2
4.188814905E0	8.542687988E2	3.306562500E2	1.620562592E2	9.302531738E2
4.198814957E0	8.541000366E2	3.303000183E2	1.616812592E2	9.299063416E2
4.208815009E0	8.541750488E2	3.304500122E2	1.619437561E2	9.300741931E2
4.218814905E0	8.539125366E2	3.306000061E2	1.619437561E2	9.298864255E2
4.228814905E0	8.539500122E2	3.305625000E2	1.620375061E2	9.299238373E2
4.238814905E0	8.540250244E2	3.304875183E2	1.621875000E2	9.299922189E2
4.248814905E0	8.541750488E2	3.301500244E2	1.622250061E2	9.300166693E2
4.258814957E0	8.541000366E2	3.303562622E2	1.624312592E2	9.300570125E2
4.268814853E0	8.541563110E2	3.302437744E2	1.621875000E2	9.300262036E2
4.278814957E0	8.542125244E2	3.302625122E2	1.621875000E2	9.300844849E2
4.288814853E0	8.541563110E2	3.303562622E2	1.620187531E2	9.300367412E2
4.298815009E0	8.541937866E2	3.304125061E2	1.621687622E2	9.301172812E2
4.308815113E0	8.539688110E2	3.302250061E2	1.619062500E2	9.297983215E2
4.318814957E0	8.536687622E2	3.304125061E2	1.618875122E2	9.295861156E2
4.328814957E0	8.537625122E2	3.305437622E2	1.620187531E2	9.297417288E2
4.338814905E0	8.539312744E2	3.306000061E2	1.621125031E2	9.299330347E2
4.348814853E0	8.538750610E2	3.305250244E2	1.622812500E2	9.298841948E2
4.358814905E0	8.538187866E2	3.305812683E2	1.625437622E2	9.298983654E2
4.368814800E0	8.537250366E2	3.305250244E2	1.627687531E2	9.298316498E2
4.378814957E0	8.540625610E2	3.305437622E2	1.625812531E2	9.301154233E2
4.388814957E0	8.542125244E2	3.305062561E2	1.628625031E2	9.302889965E2
4.398814957E0	8.545125122E2	3.304312744E2	1.628625031E2	9.305378313E2
4.408814853E0	8.545313110E2	3.305625000E2	1.626937561E2	9.305721822E2
4.418815009E0	8.544937744E2	3.307312622E2	1.625437622E2	9.305714658E2
4.428815009E0	8.544375610E2	3.308062744E2	1.623937531E2	9.305203211E2
4.438814957E0	8.545500488E2	3.308812561E2	1.624875031E2	9.306666322E2
4.448814905E0	8.544562988E2	3.306750183E2	1.623750000E2	9.304876007E2
4.458814957E0	8.541563110E2	3.305625000E2	1.626375122E2	9.302180016E2
4.468815009E0	8.542312622E2	3.307687683E2	1.627500000E2	9.303798095E2
4.478815009E0	8.543812866E2	3.307500000E2	1.624875031E2	9.304650096E2
4.488815009E0	8.543250122E2	3.306375122E2	1.625437622E2	9.303831821E2
4.498814957E0	8.544375610E2	3.304500122E2	1.624687500E2	9.304068202E2
4.508814957E0	8.542875366E2	3.306000061E2	1.626750031E2	9.303583803E2
4.518814905E0	8.541937866E2	3.305250244E2	1.626375122E2	9.302390968E2
4.528815373E0	8.545125122E2	3.306187744E2	1.625625000E2	9.305519727E2
4.538814957E0	8.547000122E2	3.306937561E2	1.622812500E2	9.307017112E2
4.548815009E0	8.545500488E2	3.305437622E2	1.619062500E2	9.304453764E2
4.558815009E0	8.545687866E2	3.305250244E2	1.620187531E2	9.304755124E2
4.568815113E0	8.545500488E2	3.304500122E2	1.620187531E2	9.304316594E2
4.578815009E0	8.545313110E2	3.306375122E2	1.620187531E2	9.304810596E2
4.588814957E0	8.547375488E2	3.305437622E2	1.618125000E2	9.306012794E2
4.598815061E0	8.548312988E2	3.306562500E2	1.618125000E2	9.307273448E2
4.608814905E0	8.547937622E2	3.306750183E2	1.620562592E2	9.307419485E2
4.618814800E0	8.548875122E2	3.306375122E2	1.621875000E2	9.308375842E2
4.628814853E0	8.549063110E2	3.306750183E2	1.623000031E2	9.308877802E2
4.638815061E0	8.546812744E2	3.306187744E2	1.622250061E2	9.306480578E2
4.648814905E0	8.545875244E2	3.305250244E2	1.621125031E2	9.305090501E2
4.658814905E0	8.545500488E2	3.304687500E2	1.621687622E2	9.304644475E2
4.668815061E0	8.546812744E2	3.304687500E2	1.622812500E2	9.306045775E2
4.678815061E0	8.547188110E2	3.303187561E2	1.621687622E2	9.305661900E2
4.688815061E0	8.546812744E2	3.302437744E2	1.620562592E2	9.304854983E2
4.698814957E0	8.544000244E2	3.302250061E2	1.619437561E2	9.302009119E2
4.708815061E0	8.544187622E2	3.302250061E2	1.620375061E2	9.302344485E2
4.718814905E0	8.545500488E2	3.303750000E2	1.621687622E2	9.304311549E2
4.728814905E0	8.546437988E2	3.308062744E2	1.622062531E2	9.306770023E2
4.738815009E0	8.547188110E2	3.307687683E2	1.623750000E2	9.307619807E2
4.748814853E0	8.547562866E2	3.308625183E2	1.623375092E2	9.308231746E2
4.758815009E0	8.547937622E2	3.309375000E2	1.623187561E2	9.308809717E2
4.768814957E0	8.550187988E2	3.308437500E2	1.625062561E2	9.310870080E2
4.778814957E0	8.549812622E2	3.308250122E2	1.626000061E2	9.310622479E2
4.788815061E0	8.552437744E2	3.307500000E2	1.625437622E2	9.312668526E2
4.798814905E0	8.553187866E2	3.308812561E2	1.626375122E2	9.313987292E2
4.808815061E0	8.554125366E2	3.306187744E2	1.626937561E2	9.314014387E2
4.818814957E0	8.552437744E2	3.306562500E2	1.625437622E2	9.312335604E2
4.828815009E0	8.549437866E2	3.306000061E2	1.625812531E2	9.309446311E2
4.838815009E0	8.551125488E2	3.306375122E2	1.625250092E2	9.311031169E2
4.848815009E0	8.550187988E2	3.308250122E2	1.624687500E2	9.310738047E2
4.858814957E0	8.552062988E2	3.306375122E2	1.624687500E2	9.311793988E2
4.868814905E0	8.549812622E2	3.307687683E2	1.623750000E2	9.310029954E2
4.878815061E0	8.547750244E2	3.305062561E2	1.623937531E2	9.307236210E2
4.888815009E0	8.546625366E2	3.305812683E2	1.624500122E2	9.306567750E2
4.898815009E0	8.549250488E2	3.304875183E2	1.624312592E2	9.308612962E2
4.908814905E0	8.550750122E2	3.303375244E2	1.624687500E2	9.309523357E2
4.918815113E0	8.549625244E2	3.303187561E2	1.624875031E2	9.308456303E2
4.928815009E0	8.548125610E2	3.302437744E2	1.623187561E2	9.306518380E2
4.938814957E0	8.549625244E2	3.304500122E2	1.622250061E2	9.308464327E2
4.948814957E0	8.551125488E2	3.304125061E2	1.623937531E2	9.310003364E2
4.958815321E0	8.550562744E2	3.303375244E2	1.621875000E2	9.308860820E2
4.968815009E0	8.550375366E2	3.302250061E2	1.621500092E2	9.308224155E2
4.978814905E0	8.548875122E2	3.303187561E2	1.620562592E2	9.307015474E2
4.988814957E0	8.547000122E2	3.303562622E2	1.618687592E2	9.305100032E2
4.998815009E0	8.546062622E2	3.302625122E2	1.618875122E2	9.303938720E2
5.008815009E0	8.544750366E2	3.304125061E2	1.617937622E2	9.303102890E2
5.018814957E0	8.543625488E2	3.303750000E2	1.619437561E2	9.302197512E2
5.028815165E0	8.543062744E2	3.304687500E2	1.617187500E2	9.301622221E2
5.038814957E0	8.544562988E2	3.303187561E2	1.619625092E2	9.302891495E2
5.048815009E0	8.544750366E2	3.305062561E2	1.619437561E2	9.303696866E2
5.058815061E0	8.547188110E2	3.304687500E2	1.622812500E2	9.306390518E2
5.068815009E0	8.550938110E2	3.306562500E2	1.622625122E2	9.310467787E2
5.078814957E0	8.553187866E2	3.308812561E2	1.622250061E2	9.313267874E2
5.088814957E0	8.554500122E2	3.307312622E2	1.623562622E2	9.314169029E2
5.098815009E0	8.554688110E2	3.307500000E2	1.624312592E2	9.314538975E2
5.108815113E0	8.554125366E2	3.307875061E2	1.624500122E2	9.314188040E2
5.118814957E0	8.554875488E2	3.310312500E2	1.623187561E2	9.315514013E2
5.128945269E0	8.556375122E2	3.309562683E2	1.623187561E2	9.316624831E2
5.138815009E0	8.555625610E2	3.310687561E2	1.621125031E2	9.315977033E2
5.148814905E0	8.554875488E2	3.309750061E2	1.621125031E2	9.314954989E2
5.158814905E0	8.552437744E2	3.307500000E2	1.623562622E2	9.312341446E2
5.168814905E0	8.556000366E2	3.308625183E2	1.623187561E2	9.315947656E2
5.178814957E0	8.555812988E2	3.309187622E2	1.622062531E2	9.315779380E2
5.188814905E0	8.557125244E2	3.307312622E2	1.622625122E2	9.316416774E2
5.198815321E0	8.556375122E2	3.308812561E2	1.622437592E2	9.316227752E2
5.208814905E0	8.556750488E2	3.308812561E2	1.623750000E2	9.316801143E2
5.218814853E0	8.557687988E2	3.306937561E2	1.623750000E2	9.316996501E2
5.228814853E0	8.557312622E2	3.306187744E2	1.625250092E2	9.316647174E2
5.238814905E0	8.558250122E2	3.307687683E2	1.625812531E2	9.318138728E2
5.248814748E0	8.555250244E2	3.306562500E2	1.626000061E2	9.315016828E2
5.258814905E0	8.554688110E2	3.306187744E2	1.626000061E2	9.314367518E2
5.268814853E0	8.551687622E2	3.306937561E2	1.626375122E2	9.311943581E2
5.278814905E0	8.552437744E2	3.307125244E2	1.626562500E2	9.312731839E2
